KEGG_ID	SMILES
C03406	C1CN1C2=CC(=O)C(=C(C2=O)N3CC3)N4CC4
C06735	CC(CCC(=O)[O-])C1CCC2C1(C(=O)CC3C2C(=O)CC4C3(CCC(=O)C4)C)C.[Na+]
C00014	CCCCCCOC1=CC=CC=C1C(=O)N
C01342	CCOC1=C(C=CC(=C1)CC(=O)NC(CC(C)C)C2=CC=CC=C2N3CCCCC3)C(=O)O
C00334	CC(C)(CCCC(CC(=O)OC)(C(=O)OC1C2C3=CC4=C(C=C3CCN5C2(CCC5)C=C1OC)OCO4)O)O
C00251	CC1CC(C(OC1C2CCC(O2)C3CC(C(O3)C4(CC(C5(O4)C(C(CC(O5)CC6C(C(C(C(O6)(C(C)C(=O)[O-])O)C)OC)C)OC)C)C)C)OC7CCC(C(O7)C)OC)(C)O)C.[Na+]
C00263	C1=C(C(=CC(=C1Cl)Cl)Cl)OCC#CI
C00214	C(CC(=O)NC(CSN=O)C(=O)NCC(=O)O)C(C(=O)O)N
C00392	CC1=C2CCCC2=C(C=C1)OCC(C(C)NC(C)C)O
C00962	C1=NC(=C(N1C2C(C(C(O2)CO)O)O)O)C(=O)N
C02912	CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(C=C4)O
C05198	CCNC1=CC=CC(=C1)C
C00130	CC(=CCC1C(O1)(C)C2C(C(CCC23CO3)OC(=O)C=CC=CC=CC=CC(=O)O)OC)C
C00158	CC(=O)OC1CC2C(C(=O)C=CC2(C3C1(C45C(O4)C(=O)OC(C5(CC3)C)C6=COC=C6)C)C)(C)C
C00123	CC1=C(C(=C(N1)C)C(=O)OC)C(=O)C2=CC=CC=C2CC3=CC=CC=C3
C00493	CC(C)O
C00038	C1C[NH2+]CC(C2=CC(=C(C(=C21)Cl)O)O)C3=CC=C(C=C3)O
C00133	CC1=NC2=C(N1)C(=O)N(C(=O)N2CC3=CC=CO3)C
C00493	CC(C)O
C01697	C1CNCCN1
C04778	CCOC(=O)C(C)C
C01417	C1(=NC(=O)NC(=O)N1)C(=O)O
C00158	CC(=O)OC1CC2C(C(=O)C=CC2(C3C1(C45C(O4)C(=O)OC(C5(CC3)C)C6=COC=C6)C)C)(C)C
C00385	C1=CC=C(C=C1)CCNN
C00082	CC(=O)OCC(=O)C12C(CC3C1(CC(C4(C3CC(C5=CC(=O)C=CC54C)F)F)O)C)OC(O2)(C)C
